Gene Symbol,Characteristics [Cell Line],count,Score - nuclei stay close together (manual),Score - strange nuclear shape (manual),Score - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual),Score - cell migration (manual),Score - metaphase delay/arrest (manual),Score - cell death (manual),Score - metaphase alignment problems/including no metaphase (manual),Score - pulsating nuclei (manual),Score - small nucleus (manual),Score - prometaphase delay/arrest (manual),Score - condensation followed by decondensation without completion of mitosis (manual),Score - large nucleus (manual),Score - failure in decondensation (manual),Score - condensation without mitosis/collapse of nucleus (manual),Score - reduced mitotic index (manual),Score - other (manual),Score - no phenotype (manual),Score - cell death (automatic),Score - binuclear (automatic),Score - polylobed (automatic),Score - large (automatic),Score - dynamic changes (automatic),Score - mitotic delay/arrest (automatic),Score - grape (automatic),Score - migration (speed) (automatic),Score - migration (distance) (automatic),Score - increased proliferation (automatic)
ABCA8,HeLa,6,,,,,,,,,,,,,,,,,,0.007318000000000001,0.02489783333333333,0.0312535,0.0120405,0.006193666666666667,0.007337666666666667,0.0024145,0.07256933333333333,1.1145881666666668,0.412312
ABCA9,HeLa,7,,,,,,,,,,,,,,,,,,0.014454999999999999,0.015761571428571427,0.015974285714285715,0.005073285714285715,0.02766957142857143,0.008137857142857143,0.003097,0.799287,3.4429380000000003,0.23238899999999998
ABCB1,HeLa,6,,,,,,,,,,,,,,,,,,0.005911,0.01601016666666667,0.012547833333333333,0.004374333333333334,0.0034253333333333336,0.005296666666666666,0.0026418333333333333,0.3075991666666667,2.681307,-0.03275
ABCB10,HeLa,6,,,,,,,,,,,,,,,,,,0.026102,0.009065833333333334,0.007176333333333333,-0.0034250000000000005,0.009974333333333333,0.011447833333333332,0.004043333333333334,0.2714885,2.4610025,0.2592856666666667
ABCB11,HeLa,6,,,,,,,,,,,,,,,,,,0.0097265,0.025165999999999997,0.023772833333333337,0.04892766666666667,0.007384666666666665,0.008193833333333334,0.0031493333333333334,0.9782105,6.689758166666667,0.12651583333333336
ABCB4,HeLa,2,,,,,,,,,,,,,,,,,,0.0235015,0.0548845,0.0187875,0.000833,0.013373,0.0185375,0.002495,0.6168345,1.7346985,-0.124106
ABCB5,HeLa,6,,,,,,,,,,,,,,,,,,0.02459966666666667,0.0060051666666666665,-0.0015101666666666666,-0.0011656666666666673,0.010630333333333334,0.0037735000000000004,0.0030004999999999997,0.8681185,4.43828,0.03982233333333334
ABCB6,HeLa,9,,,,,,,,,,,,,,,,,,0.014054555555555558,0.012360333333333334,0.013231111111111112,0.0011251111111111115,0.019939333333333333,0.016709222222222223,0.002313222222222222,0.47120100000000004,0.8495467777777778,0.39944344444444446
ABCB7,HeLa,6,,,,,,,,,,,,,,,,,,0.015634166666666668,0.0330355,0.017841833333333335,0.014729666666666667,0.010286166666666667,0.006584166666666666,0.0025531666666666667,0.16471333333333335,2.2555906666666665,0.17799883333333333
ABCB8,HeLa,3,,,,,,,,,,,,,,,,,,0.008336000000000001,0.015135666666666667,0.021574333333333334,0.021448999999999996,0.007270666666666666,0.007351,0.001191,0.126191,1.5685493333333334,0.078336
ABCB9,HeLa,6,,,,,,,,,,,,,,,,,,0.019828,0.025430166666666667,0.0069306666666666674,0.013144999999999999,0.011340333333333334,0.006735499999999999,0.0017211666666666666,0.22147799999999998,-0.6424826666666666,-0.015177666666666673
ABCC1,HeLa,6,,,,,,,,,,,,,,,,,,0.020155500000000003,0.026108333333333334,0.04210733333333333,0.004540833333333333,0.046418999999999995,0.016438333333333333,0.0027593333333333337,0.2440078333333333,-1.4299508333333335,0.16378983333333333
ABCC10,HeLa,6,,,,,,,,,,,,,,,,,,0.008831666666666666,0.033043666666666666,0.014979833333333333,0.0035796666666666668,0.0074476666666666675,0.007797833333333333,0.0008895,0.08787716666666667,0.9633263333333333,0.43611549999999993
ABCC11,HeLa,4,,,,,,,,,,,,,,,,,,0.00675,0.022504,0.014859750000000001,-0.005680500000000001,0.00850225,0.00436875,0.0012355,0.13217574999999998,0.6207675,0.19856975000000002
ABCC12,HeLa,6,,,,,,,,,,,,,,,,,,0.0026125000000000002,0.0117035,0.012276666666666667,-0.002516833333333333,0.0034128333333333333,0.004750166666666666,0.002074,0.27532983333333333,4.126219833333333,0.22501866666666667
ABCC13,HeLa,9,,,,,,,,,,,,,,,,,,0.014556444444444447,0.023425555555555557,0.03844611111111111,0.021283777777777776,0.030249777777777778,0.015963777777777778,0.004812888888888889,0.3492151111111111,0.38007255555555547,0.31206455555555557
ABCC2,HeLa,9,,,,,,,,,,,,,,,,,,0.02376488888888889,0.039730999999999995,0.045654,0.012639333333333332,0.09251155555555556,0.02224933333333333,0.009268666666666666,0.07842133333333334,-3.779274888888889,-0.1586132222222222
ABCC3,HeLa,6,,,,,,,,,,,,,,,,,,0.004684833333333333,0.012172,0.013082833333333333,0.004185833333333334,0.0003128333333333331,0.0010135,0.000839,0.8992551666666667,4.612772,0.3643416666666666
ABCC4,HeLa,3,,,,,,,,,,,,,,,,,,-0.0010613333333333332,0.011445666666666666,0.004884,0.033961333333333336,0.0016756666666666667,0.0033503333333333336,0.0012456666666666666,0.43737899999999996,3.4357216666666672,0.45826166666666673
ABCC5,HeLa,6,,,,,,,,,,,,,,,,,,0.008824166666666666,0.030577999999999998,0.016790666666666666,0.0057215,0.0238685,0.009039,0.0021653333333333333,0.7768303333333334,4.6332285,0.23199566666666668
ABCC6,HeLa,3,,,,,,,,,,,,,,,,,,0.005994,0.005867666666666667,0.035103666666666665,0.030598666666666666,0.018580333333333334,0.0035733333333333333,0.0025866666666666664,0.3433123333333333,0.5504743333333333,0.06017933333333334
ABCC8,HeLa,2,,,,,,,,,,,,,,,,,,0.09189449999999999,0.014624,0.0381665,0.0210475,0.038036,0.027209999999999998,0.003503,0.2318925,-1.042148,-0.1642765
ABCC9,HeLa,6,,,,,,,,,,,,,,,,,,0.011722999999999999,0.026429166666666667,0.014102166666666666,0.027459499999999998,0.019357166666666665,0.004850833333333333,0.001962666666666667,0.5678985,2.438299,0.2619573333333333
ABCD1,HeLa,6,,,,,,,,,,,,,,,,,,0.010634666666666667,0.011995666666666668,0.009181833333333334,-1.3500000000000201e-05,0.005260666666666667,0.0025020000000000003,0.002629666666666667,0.6660495000000001,4.974817833333334,0.32009116666666665
